resistance,vitesse,satiete,vision,time_lived
-0.258,0.937,0.504,0.837,364.0
0.862,0.876,-0.021,1.671,232.0
0.015,1.636,-0.341,0.558,381.0
-0.565,-0.598,-0.95,0.801,489.0
0.164,1.022,0.934,0.225,547.0
0.409,-0.874,-0.372,1.345,246.0
0.585,1.211,0.257,2.566,365.0
1.155,2.272,0.755,1.393,409.0
-0.643,0.914,-1.232,1.374,218.0
0.679,1.643,-1.676,0.974,461.0
1.729,1.459,1.557,0.081,354.0
0.125,0.27,0.63,1.776,588.0
0.275,2.668,-1.267,1.336,675.0
-0.053,1.594,0.178,2.774,431.0
-0.013,1.241,0.074,1.786,470.0
-0.462,0.7,1.46,2.234,386.0
0.668,2.18,-0.654,-0.383,134.0
-0.43,0.951,0.209,1.408,223.0
-0.296,-0.712,0.063,1.095,229.0
-1.778,0.999,0.357,-0.409,110.0
0.103,0.663,0.425,0.682,329.0
1.682,2.184,1.5,0.802,586.0
0.786,2.445,-0.12,2.454,895.0
0.582,-0.391,-0.562,1.377,455.0
-0.304,0.013,-0.794,-1.226,113.0
0.443,1.669,-1.582,-0.194,281.0
0.012,1.277,0.774,1.849,631.0
0.496,0.447,0.813,0.374,189.0
0.899,0.018,1.013,1.134,588.0
-1.168,1.395,0.057,2.322,285.0
-2.0,0.48,0.749,3.456,177.0
0.362,1.342,0.548,0.445,606.0
0.873,1.723,2.054,-0.048,151.0
1.936,-0.643,-0.059,0.543,241.0
-0.213,-0.544,1.654,1.527,541.0
0.313,1.494,-1.554,0.863,217.0
0.708,0.217,1.853,1.984,574.0
-0.815,1.058,0.579,1.156,452.0
0.973,1.982,0.044,0.886,568.0
0.443,0.026,-0.74,0.97,245.0
0.083,0.454,0.071,1.723,484.0
0.341,0.421,-1.697,0.879,449.0
0.538,2.212,0.919,2.018,231.0
0.235,1.399,-0.898,0.473,553.0
-1.76,1.907,-0.116,2.462,173.0
-1.352,1.984,0.121,1.967,197.0
0.536,0.946,-0.457,0.784,212.0
1.049,2.818,-1.766,-1.353,136.0
-0.886,0.268,0.09,-0.206,195.0
-0.737,2.363,-1.585,0.861,394.0
0.196,0.535,0.863,2.179,378.0
-1.396,0.656,-0.598,1.391,150.0
-2.0,3.995,0.959,2.006,138.0
1.277,2.962,0.066,2.07,711.0
-1.231,1.777,1.367,-0.086,118.0
0.596,0.655,-0.003,2.122,247.0
0.141,0.102,0.517,1.655,371.0
1.768,0.714,-2.046,2.95,577.0
-0.977,2.733,0.315,-0.122,134.0
0.16,1.87,-1.471,0.571,184.0
-0.35,0.613,-1.87,0.307,199.0
0.371,0.687,0.046,-0.586,113.0
-1.122,-0.075,0.147,1.992,405.0
0.04,-0.791,1.503,0.915,238.0
0.017,-2.12,-0.671,2.698,347.0
1.489,-0.316,-0.181,1.773,369.0
-1.151,2.169,-0.601,0.224,229.0
-0.622,1.856,0.84,0.229,150.0
1.175,1.78,-0.509,1.927,254.0
0.863,0.38,-1.729,-0.005,192.0
-2.0,1.644,-0.302,0.474,153.0
-1.685,0.325,0.607,1.075,188.0
-0.125,-0.023,0.506,-0.647,363.0
-1.09,-0.154,0.614,-0.427,127.0
-0.354,0.758,0.616,2.413,565.0
0.483,1.479,1.481,-0.304,154.0
-0.555,0.139,-0.051,0.813,209.0
-0.081,1.877,0.916,1.942,516.0
0.434,-1.267,0.439,1.952,268.0
-0.132,-0.678,-0.528,1.735,457.0
-0.467,1.381,0.118,0.798,356.0
-1.204,0.682,0.205,1.489,203.0
-0.264,0.752,-1.668,1.052,235.0
